RepeFonct,ElemSys,LibOccur,LineRev,ComponentKind,Contrat,Type,Manufact,ActuKind,ActuRef,PSU_ECS1,PSU_Volt1,CompartAlloc,t_CloseReq,ValvFailSfPositn,SGApp
-DCL5237RA-,-DCL,BAL DMPR HLC2606ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5238RA-,-DCL,BAL DMPR HLC2606ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5239RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5240RA-,-DCL,BAL DMPR HLC2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5241RA-,-DCL,BAL DMPR HLC3134ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5242RA-,-DCL,BAL DMPR HLC2605ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5243RA-,-DCL,BAL DMPR HLC2606ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5244RA-,-DCL,BAL DMPR HLC3134ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5245RA-,-DCL,BAL DMPR HLC2607ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5246RA-,-DCL,BAL DMPR HLC2631ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5247RA-,-DCL,BAL DMPR HLC3135ZL,I.2,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
-DCL5250RA-,-DCL,BAL DMPR HLB2633ZL,I.3,Balancing Damper,/HK2721,DAMPER,"",null,"",null,[NE],null,[NE],[NE],SG41-01-1
