n.RepeFonct,ElemSys,n.LineRev,n.ComponentKind,n.Contrat,n.ActuKind,n.PSU_ECS1,n.PSU_Volt1,n.t_CloseReq,Type,n.ValvFailSfPositn,SGApp
-DCL5404RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL5404RAM,-DCL,I.10,Actuator,/HK2721,Isolation Damper,-LVF1101TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL5406RA-,-DCL,I.7,Motorized isolation damper,/HK2721,null,null,null,null,DAMPER,null,SG41-02-1
-DCL5406RAM,-DCL,I.10,Actuator,/HK2721,Isolation Damper,-LVI1101TB-,400,-,ELECTRICAL ACTUATOR,No,-
-DCL5431RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5501RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5502RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5503RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5504RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5505RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5506RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5507RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5508RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5509RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5510RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5511RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5512RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5513RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5514RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5515RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5516RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5517RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5518RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5519RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5520RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5522RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5523RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5543RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5548RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5556RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5558RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5559RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5560RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5562RA-,-DCL,I.5,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
-DCL5565RA-,-DCL,I.6,Balancing Damper,/HK2721,null,null,null,null,DAMPER,null,SG41-01-1
